"OBÈINE","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020","Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2021","Število obsojenih polnoletnih in mladoletnih oseb 2006","Število obsojenih polnoletnih in mladoletnih oseb 2007","Število obsojenih polnoletnih in mladoletnih oseb 2008","Število obsojenih polnoletnih in mladoletnih oseb 2009","Število obsojenih polnoletnih in mladoletnih oseb 2010","Število obsojenih polnoletnih in mladoletnih oseb 2011","Število obsojenih polnoletnih in mladoletnih oseb 2012","Število obsojenih polnoletnih in mladoletnih oseb 2013","Število obsojenih polnoletnih in mladoletnih oseb 2014","Število obsojenih polnoletnih in mladoletnih oseb 2015","Število obsojenih polnoletnih in mladoletnih oseb 2016","Število obsojenih polnoletnih in mladoletnih oseb 2017","Število obsojenih polnoletnih in mladoletnih oseb 2018","Število obsojenih polnoletnih in mladoletnih oseb 2019","Število obsojenih polnoletnih in mladoletnih oseb 2020","Število obsojenih polnoletnih in mladoletnih oseb 2021"
"SLOVENIJA",4.3,4.5,4.6,4.1,4.1,3.9,4.3,5.7,4.7,4.0,3.4,3.2,3.1,3.0,2.4,2.8,8630,9144,9228,8453,8423,7965,8825,11758,9729,8241,7006,6521,6324,6256,5007,5974
"Ajdovšèina",2.9,2.3,1.6,1.4,1.8,1.4,2.9,1.8,1.9,1.6,1.8,1.6,2.2,0.9,0.9,1.8,53,42,30,27,33,26,56,34,35,30,34,31,43,17,18,35
"Ankaran/Ancarano",-,-,-,-,-,-,-,-,z,z,1.2,0.9,3.7,1.6,z,1.2,-,-,-,-,-,-,-,-,z,z,4,3,12,5,z,4
"Apaèe",0.0,3.3,5.2,6.4,5.8,5.2,5.0,5.3,5.0,5.6,4.2,2.0,3.4,2.0,2.3,3.4,0,12,19,23,21,19,18,19,18,20,15,7,12,7,8,12
"Beltinci",5.1,3.8,4.2,3.0,3.0,3.5,6.0,5.8,5.9,5.2,3.1,3.1,4.3,3.5,3.4,2.8,44,32,35,25,25,29,50,48,49,43,26,26,35,28,27,23
"Benedikt",3.6,2.2,5.5,6.4,5.4,5.3,4.1,7.7,2.4,2.8,3.2,2.0,3.1,2.7,z,4.1,8,5,13,15,13,13,10,19,6,7,8,5,8,7,z,11
"Bistrica ob Sotli",2.8,z,2.1,2.8,z,z,z,0.0,4.3,4.4,z,z,z,z,4.5,z,4,z,3,4,z,z,z,0,6,6,z,z,z,z,6,z
"Bled",3.5,3.8,3.9,3.2,2.6,2.9,2.4,4.0,2.1,2.7,1.8,1.6,0.8,1.1,1.3,1.5,39,31,32,26,21,24,20,33,17,22,14,13,6,9,10,12
"Bloke",z,1.8,0.0,z,2.5,z,z,z,3.2,z,3.9,z,3.3,z,z,3.1,z,3,0,z,4,z,z,z,5,z,6,z,5,z,z,5
"Bohinj",1.5,2.5,3.5,3.6,1.3,1.3,1.0,1.0,2.1,2.1,0.6,2.7,1.4,1.4,1.7,1.4,8,13,18,19,7,7,5,5,11,11,3,14,7,6,9,8
"Borovnica",3.3,3.3,1.5,2.3,1.3,1.0,1.0,3.2,1.9,4.2,2.6,1.4,z,1.8,z,3.0,13,13,6,9,5,4,4,13,8,18,11,6,z,7,z,14
"Bovec",1.2,1.5,2.5,z,1.8,1.6,2.2,2.5,1.0,2.9,1.3,1.9,2.0,1.3,z,1.2,4,5,8,z,6,5,7,8,3,9,4,6,6,4,z,4
"Braslovèe",1.0,0.6,1.2,1.5,1.3,1.7,1.8,2.4,2.9,2.2,1.8,2.0,1.8,2.5,1.8,2.8,5,3,6,8,7,9,10,13,16,12,10,11,10,14,10,16
"Brda",1.7,3.3,1.2,1.4,1.4,1.6,0.9,2.3,1.6,1.9,1.8,1.9,0.7,0.7,0.7,1.2,10,19,7,8,8,9,5,13,9,11,10,11,4,4,4,7
"Brezovica",0.5,1.5,1.1,1.8,1.3,1.6,2.3,3.1,2.3,2.8,0.9,1.6,2.3,1.0,1.3,0.9,5,15,11,19,14,18,26,36,27,33,11,19,28,13,17,12
"Brežice",3.7,5.8,5.0,3.2,3.0,2.5,4.4,4.2,3.8,3.2,2.4,3.0,2.7,1.9,2.0,2.1,90,141,121,79,74,61,107,103,93,77,58,72,66,43,49,52
"Cankova",z,2.0,2.1,z,4.7,2.6,0.0,2.7,3.8,1.6,5.0,2.2,3.4,5.8,z,2.3,z,4,4,z,9,5,0,5,7,3,9,4,6,10,z,4
"Celje",5.0,5.9,5.0,4.9,6.1,4.3,4.6,7.3,6.9,4.7,4.0,3.9,4.1,3.1,2.8,3.2,244,291,244,239,298,211,223,357,337,231,199,191,202,154,137,156
"Cerklje na Gorenjskem",1.2,1.2,1.2,1.2,1.4,0.8,1.7,1.5,2.0,1.6,1.7,1.2,0.9,1.2,1.4,1.8,8,8,8,8,10,6,12,11,15,12,13,9,7,9,11,14
"Cerknica",2.7,3.1,2.0,2.6,1.3,1.9,2.1,3.7,1.7,2.7,1.2,1.2,1.7,1.6,0.5,1.8,29,34,22,29,15,21,24,42,19,31,14,14,19,18,6,21
"Cerkno",z,0.6,1.0,0.8,1.3,1.3,0.8,0.8,1.7,0.9,1.1,2.2,z,1.3,1.1,1.1,z,3,5,4,6,6,4,4,8,4,5,10,z,6,5,5
"Cerkvenjak",1.9,3.8,2.9,3.4,2.9,6.5,6.4,6.0,3.9,3.9,2.9,4.4,2.0,z,1.8,1.9,4,8,6,7,6,13,13,12,8,8,6,9,4,z,4,4
"Cirkulane",0.0,4.3,4.0,3.9,3.9,3.1,2.2,2.6,3.0,z,2.2,3.0,4.3,z,2.1,z,0,10,9,9,9,7,5,6,7,z,5,7,10,z,5,z
"Èrenšovci",6.2,6.7,8.1,6.2,6.0,7.5,4.1,7.5,7.4,7.3,4.3,3.3,4.5,2.5,5.3,5.8,27,29,34,26,25,31,17,30,30,29,17,13,18,10,21,23
"Èrna na Koroškem",4.2,3.1,2.2,1.6,5.0,3.7,3.4,6.1,3.8,1.5,1.8,1.8,z,1.8,z,1.2,15,11,8,6,18,13,12,21,13,5,6,6,z,6,z,4
"Èrnomelj",6.8,7.9,6.5,7.6,6.4,6.6,6.3,10.8,9.4,7.3,5.3,6.0,5.1,6.1,4.5,3.9,101,117,96,112,94,97,93,159,137,106,77,86,73,77,65,56
"Destrnik",3.8,6.4,4.9,5.6,3.0,3.0,6.2,4.6,3.9,z,3.5,3.5,1.5,1.9,z,2.6,10,17,13,15,8,8,16,12,10,z,9,9,4,5,z,7
"Divaèa",2.6,1.5,4.2,2.3,2.6,0.8,3.3,3.5,5.1,3.6,3.3,1.3,1.7,1.0,z,0.9,10,6,16,9,10,3,13,14,20,14,13,5,7,4,z,4
"Dobje",0.0,0.0,0.0,0.0,z,z,z,3.1,z,4.1,0.0,z,4.2,z,5.3,0.0,0,0,0,0,z,z,z,3,z,4,0,z,4,z,5,0
"Dobrepolje",z,1.9,2.4,3.1,2.3,z,z,3.3,1.8,2.0,3.1,3.1,1.6,2.1,z,1.3,z,7,9,12,9,z,z,13,7,8,12,12,6,8,z,5
"Dobrna",z,1.9,z,2.8,4.5,2.7,1.8,3.2,2.3,2.3,3.1,4.9,3.6,3.6,z,2.6,z,4,z,6,10,6,4,7,5,5,7,11,8,8,z,6
"Dobrova - Polhov Gradec",z,z,z,0.8,0.4,z,1.1,0.7,0.7,1.3,1.6,0.4,0.5,1.2,z,1.4,z,z,z,6,3,z,8,5,5,10,12,3,4,9,z,11
"Dobrovnik/Dobronak",3.6,4.3,5.1,2.2,7.6,2.2,2.2,4.7,4.7,z,z,8.7,2.3,3.1,z,3.9,5,6,7,3,10,3,3,6,6,z,z,11,3,4,z,5
"Dol pri Ljubljani",1.0,2.0,0.8,1.1,2.6,0.9,0.9,2.1,2.2,3.4,1.7,2.0,1.1,2.2,0.6,1.3,5,10,4,6,14,5,5,12,13,20,10,12,7,14,4,8
"Dolenjske Toplice",2.0,2.6,3.5,3.8,4.4,2.4,3.8,3.8,2.6,3.0,3.2,2.3,2.0,z,1.4,1.1,7,9,12,13,15,8,13,13,9,10,11,8,7,z,5,4
"Domžale",3.5,3.6,5.5,2.8,2.8,3.2,3.2,4.4,3.1,2.8,3.3,2.3,2.1,2.3,1.5,2.2,112,117,179,93,93,111,111,152,109,99,116,83,77,80,54,82
"Dornava",2.2,3.0,4.8,3.7,3.4,3.7,1.4,5.8,1.0,2.4,4.1,2.4,3.8,3.5,2.4,3.5,6,8,14,11,10,11,4,17,3,7,12,7,11,10,7,10
"Dravograd",4.8,3.4,3.9,5.4,4.7,3.2,3.8,4.8,3.8,2.6,2.1,2.6,1.6,1.4,1.5,2.1,42,30,35,49,43,29,34,43,34,23,19,23,14,11,13,19
"Duplek",2.7,3.6,5.5,4.6,4.7,4.3,4.2,6.8,4.0,4.9,3.8,1.3,2.2,1.4,1.4,1.3,17,23,36,30,31,29,28,46,27,33,26,9,15,10,10,9
"Gorenja vas - Poljane",1.6,1.3,0.8,0.8,z,0.7,z,1.0,1.9,1.7,0.9,0.8,1.5,1.3,0.8,1.4,11,9,6,6,z,5,z,7,14,13,7,6,11,10,6,11
"Gorišnica",2.7,4.8,4.6,4.3,4.0,2.7,3.2,5.7,3.0,3.3,1.0,2.8,4.2,3.4,4.3,3.3,17,19,18,17,16,11,13,23,12,13,4,11,17,14,18,14
"Gorje",0.0,0.0,2.1,1.4,1.4,1.7,1.4,1.7,3.2,2.1,1.8,1.1,2.5,2.2,2.5,1.8,0,0,6,4,4,5,4,5,9,6,5,3,7,6,7,5
"Gornja Radgona",4.9,6.5,6.5,7.1,6.5,6.1,5.5,4.8,4.0,4.6,4.6,3.0,3.2,2.9,2.0,2.8,60,57,56,61,56,53,47,41,34,39,39,25,27,23,17,24
"Gornji Grad",0.0,z,z,1.9,z,0.0,1.9,1.9,1.9,1.2,2.0,z,1.2,1.6,3.2,z,0,z,z,5,z,0,5,5,5,3,5,z,3,4,8,z
"Gornji Petrovci",2.2,4.4,4.0,1.4,6.9,2.8,5.1,3.3,4.3,5.3,1.5,1.5,3.0,z,z,3.0,5,10,9,3,15,6,11,7,9,11,3,3,6,z,z,6
"Grad",4.3,3.0,2.6,1.3,2.2,1.8,2.3,3.2,0.0,1.4,2.3,z,z,z,z,z,10,7,6,3,5,4,5,7,0,3,5,z,z,z,z,z
"Grosuplje",2.9,3.9,5.0,3.1,2.8,5.3,5.1,6.2,6.7,4.3,3.4,4.2,4.0,4.1,2.7,2.6,50,69,93,58,53,103,100,123,134,86,69,85,83,79,58,55
"Hajdina",1.6,2.9,7.0,3.5,4.6,4.3,5.3,7.2,4.0,4.0,5.7,4.0,6.4,3.9,2.1,3.3,6,11,26,13,17,16,20,27,15,15,21,15,24,15,8,13
"Hoèe - Slivnica",1.3,1.8,3.1,3.7,3.5,2.1,2.5,3.5,3.0,4.5,4.5,3.3,2.7,2.9,2.3,4.5,13,19,33,40,38,23,28,39,34,50,51,37,31,34,27,53
"Hodoš/Hodos",11.9,z,21.5,0.0,12.8,0.0,z,0.0,0.0,z,13.4,z,0.0,z,z,0.0,4,z,7,0,4,0,z,0,0,z,5,z,0,z,z,0
"Horjul",z,z,1.1,1.0,1.0,z,z,2.1,2.0,2.0,z,z,z,z,z,4.0,z,z,3,3,3,z,z,6,6,6,z,z,z,z,z,12
"Hrastnik",2.0,4.3,5.9,4.2,5.6,2.9,3.3,4.8,4.1,2.5,2.4,1.9,2.9,2.6,2.4,3.5,21,44,60,42,56,29,32,46,39,23,22,18,27,24,22,31
"Hrpelje - Kozina",2.5,1.2,3.2,4.1,1.7,3.3,2.8,3.5,3.3,4.1,3.2,1.4,0.7,1.8,2.1,1.0,10,5,13,17,7,14,12,15,14,18,14,6,3,8,10,5
"Idrija",1.3,1.8,1.9,0.8,1.8,1.7,1.8,2.3,1.8,1.5,1.3,2.5,1.4,1.9,1.5,1.2,16,22,23,10,21,20,21,27,21,18,16,30,16,22,18,14
"Ig",2.9,3.3,4.7,2.4,3.4,2.6,2.4,5.1,2.7,3.4,1.8,2.5,1.2,0.8,1.8,2.2,17,20,30,16,23,18,17,36,19,24,13,18,9,6,14,17
"Ilirska Bistrica",2.1,3.0,3.2,3.2,2.1,3.7,2.1,2.8,2.7,1.5,2.0,1.6,1.8,2.9,1.9,1.5,30,42,45,45,29,52,29,39,37,21,27,21,24,37,25,20
"Ivanèna Gorica",2.5,1.2,2.0,1.1,1.2,1.3,0.9,2.7,1.6,2.3,2.2,1.8,1.5,1.8,0.8,1.1,36,17,29,17,19,21,14,43,26,37,35,30,25,26,14,20
"Izola/Isola",5.9,5.3,4.8,4.7,4.7,3.6,4.5,6.8,5.8,3.3,2.8,3.0,2.7,2.1,1.9,2.5,90,83,75,76,74,57,71,108,91,52,45,47,44,34,32,42
"Jesenice",6.7,6.7,7.0,4.6,4.4,4.4,4.8,4.5,5.0,2.8,3.6,2.7,3.2,3.4,2.7,2.8,147,147,152,100,95,95,102,95,105,59,74,56,67,68,57,61
"Jezersko",z,z,z,z,0.0,z,z,6.3,0.0,0.0,0.0,z,z,z,z,z,z,z,z,z,0,z,z,4,0,0,0,z,z,z,z,z
"Juršinci",2.1,3.4,4.6,3.9,4.3,4.7,2.1,3.4,2.5,3.0,4.2,5.5,2.5,3.8,2.5,3.7,5,8,11,9,10,11,5,8,6,7,10,13,6,9,6,9
"Kamnik",4.5,4.8,3.6,2.5,2.8,3.6,2.9,4.8,3.1,3.3,2.8,2.4,2.1,2.2,1.2,1.9,125,134,102,72,82,104,85,141,92,96,82,72,62,63,36,57
"Kanal",1.8,1.8,1.5,2.1,2.1,1.4,1.4,2.5,2.3,2.6,2.8,2.0,1.1,0.8,1.3,2.1,11,11,9,12,12,8,8,14,13,14,15,11,6,4,7,11
"Kidrièevo",2.4,3.6,3.8,2.1,4.0,3.5,4.1,5.3,3.2,3.1,4.0,1.9,5.7,2.6,1.5,1.8,16,24,25,14,27,23,27,35,21,20,26,12,37,17,10,12
"Kobarid",1.6,0.9,1.2,1.2,1.7,z,0.7,0.7,2.2,1.4,1.2,1.5,0.7,1.7,1.0,z,7,4,5,5,7,z,3,3,9,6,5,6,3,7,4,z
"Kobilje",z,z,4.9,z,0.0,0.0,z,8.6,5.1,10.3,z,z,5.5,z,z,z,z,z,3,z,0,0,z,5,3,6,z,z,3,z,z,z
"Koèevje",5.8,4.8,9.1,9.8,10.8,9.0,9.4,12.0,11.1,8.3,9.2,6.2,8.5,8.2,6.4,8.8,98,82,152,163,178,149,155,195,179,134,147,99,134,126,100,137
"Komen",2.5,0.8,2.0,z,0.8,0.8,2.8,1.7,2.0,2.0,1.1,1.1,2.6,1.4,1.7,0.0,9,3,7,z,3,3,10,6,7,7,4,4,9,5,6,0
"Komenda",0.8,1.9,1.0,2.7,0.6,1.8,1.0,3.1,2.5,1.8,1.5,1.2,z,0.8,z,1.2,4,9,5,14,3,10,6,18,15,11,9,7,z,5,z,8
"Koper/Capodistria",5.5,4.9,4.7,4.2,4.1,3.5,5.2,6.4,5.0,4.3,3.6,2.8,3.1,2.1,1.8,1.9,275,244,238,218,217,186,278,343,270,219,183,143,163,106,94,101
"Kostanjevica na Krki",0.0,1.2,0.0,1.7,1.7,z,4.1,3.7,2.1,2.0,2.1,1.7,1.2,z,z,z,0,3,0,4,4,z,10,9,5,5,5,4,3,z,z,z
"Kostel",z,0.0,z,z,z,z,6.2,4.6,z,z,0.0,z,z,-,z,z,z,0,z,z,z,z,4,3,z,z,0,z,z,-,z,z
"Kozje",2.1,1.8,3.1,2.5,0.9,z,2.8,1.6,1.9,2.3,2.3,1.6,1.0,2.6,1.7,3.0,7,6,10,8,3,z,9,5,6,7,7,5,3,8,5,9
"Kranj",4.5,3.9,2.8,2.3,2.5,2.4,3.6,3.8,3.8,2.6,2.0,2.3,2.4,1.6,1.6,2.0,241,210,150,124,138,134,199,212,212,147,111,127,133,85,93,114
"Kranjska Gora",5.0,2.0,2.8,2.3,1.7,2.1,2.2,1.7,2.4,4.1,1.3,1.1,3.1,1.5,1.3,1.1,27,11,15,12,9,11,12,9,13,22,7,6,16,8,7,9
"Križevci",3.4,1.1,1.6,0.8,1.3,2.9,1.3,2.1,2.1,4.6,2.2,2.5,3.1,1.7,1.4,4.0,12,4,6,3,5,11,5,8,8,17,8,9,11,6,5,14
"Krško",6.6,7.7,7.4,4.6,5.1,3.8,5.5,5.3,5.7,4.8,3.6,3.7,4.3,4.6,3.6,5.7,186,199,188,118,131,97,143,137,146,125,94,97,111,108,94,146
"Kungota",2.4,2.5,4.5,4.0,2.5,2.9,3.1,4.2,2.5,4.0,4.0,5.3,2.7,1.9,1.3,4.3,11,12,21,19,12,14,15,20,12,19,19,25,13,9,6,21
"Kuzma",3.7,3.1,6.3,2.5,1.9,5.0,2.5,5.7,3.7,z,1.9,z,3.2,z,z,3.6,6,5,10,4,3,8,4,9,6,z,3,z,5,z,z,6
"Laško",3.4,2.8,3.3,3.2,4.5,2.5,4.2,4.5,3.4,3.0,2.1,2.3,1.7,1.8,1.4,1.5,47,38,46,44,61,34,56,60,45,40,28,30,22,23,18,19
"Lenart",5.5,7.5,7.8,6.7,5.4,4.3,6.6,7.5,6.3,3.3,3.5,2.4,3.2,1.9,1.2,2.0,64,55,61,53,44,35,54,61,52,27,29,20,27,16,10,17
"Lendava/Lendva",6.5,5.6,6.6,5.6,7.4,6.3,6.5,8.2,6.1,5.4,3.8,5.6,6.2,5.2,2.5,3.2,74,64,74,62,82,69,71,88,65,57,40,59,65,52,26,33
"Litija",4.3,5.1,4.1,3.1,4.4,2.3,2.7,4.7,4.7,2.6,2.6,2.6,2.0,2.1,1.2,1.8,63,75,59,46,65,35,40,70,71,39,39,40,30,30,18,28
"Ljubljana",4.5,4.3,4.0,3.5,3.4,3.5,3.5,6.2,4.6,3.8,3.2,2.8,2.8,2.3,2.0,2.3,1213,1158,1085,970,959,969,988,1757,1323,1093,932,809,807,649,596,684
"Ljubno",0.0,z,1.1,z,1.5,1.5,2.6,2.3,3.4,2.3,2.7,1.9,3.1,-,z,z,0,z,3,z,4,4,7,6,9,6,7,5,8,-,z,z
"Ljutomer",6.5,7.1,8.5,6.7,6.9,5.9,7.5,6.7,5.0,2.9,3.4,3.9,3.6,3.1,2.4,2.7,79,85,102,79,82,70,88,78,58,33,39,45,41,34,27,30
"Log - Dragomer",0.0,z,1.1,z,z,z,z,2.7,1.1,1.9,1.9,1.7,2.2,2.7,2.5,z,0,z,4,z,z,z,z,10,4,7,7,6,8,10,9,z
"Logatec",2.4,2.6,2.5,1.4,2.5,2.3,1.3,3.7,2.0,2.0,2.1,1.4,1.1,0.9,1.5,1.7,29,32,32,18,33,31,17,50,28,28,29,19,16,13,22,25
"Loška dolina",1.8,1.0,z,1.8,1.8,0.8,0.8,1.8,2.3,1.3,0.0,z,1.9,1.3,z,z,7,4,z,7,7,3,3,7,9,5,0,z,7,4,z,z
"Loški Potok",2.0,z,z,3.5,2.0,0.0,z,3.1,2.1,3.2,4.3,1.6,1.6,z,z,2.8,4,z,z,7,4,0,z,6,4,6,8,3,3,z,z,5
"Lovrenc na Pohorju",z,1.6,3.2,3.5,3.9,3.2,z,1.3,2.9,1.6,2.3,2.3,1.3,z,3.7,3.7,z,5,10,11,12,10,z,4,9,5,7,7,4,z,11,11
"Luèe",0.0,0.0,0.0,0.0,z,0.0,0.0,0.0,0.0,z,z,z,z,z,z,z,0,0,0,0,z,0,0,0,0,z,z,z,z,z,z,z
"Lukovica",1.6,2.8,4.2,1.7,1.5,0.7,2.4,3.6,0.5,3.2,2.3,0.7,1.4,2.2,1.4,0.7,8,15,22,9,8,4,13,20,3,18,13,4,8,13,8,4
"Majšperk",2.4,1.7,2.5,4.4,3.9,2.7,3.0,4.0,2.8,2.0,3.8,2.8,3.0,1.0,1.2,3.7,10,7,10,18,16,11,12,16,11,8,15,11,12,4,5,15
"Makole",0.0,1.9,3.4,4.3,2.9,1.9,1.9,4.0,1.5,3.5,3.4,3.9,5.5,3.0,z,3.5,0,4,7,9,6,4,4,8,3,7,7,8,11,6,z,7
"Maribor",7.3,7.0,7.2,8.1,7.1,7.0,7.9,8.7,7.5,5.8,5.0,4.8,3.7,4.1,3.3,4.2,814,776,805,911,794,783,880,972,840,653,555,533,405,439,366,471
"Markovci",3.0,2.5,6.0,2.8,1.8,3.0,2.0,3.2,1.5,5.5,2.7,1.2,1.7,2.3,2.2,2.5,12,10,24,11,7,12,8,13,6,22,11,5,7,8,9,10
"Medvode",1.6,2.1,2.5,1.5,1.9,1.9,2.2,3.9,2.4,2.8,2.4,1.5,1.8,1.3,1.0,1.2,23,31,38,23,29,30,34,62,38,44,38,24,30,22,17,20
